snapshot_date,country,iso3,us_integration_depth,china_exposure_depth,net_alignment_score,source
2025-05-01,Jordan,JOR,20.0,30.0,45.0,backfilled
2025-05-01,Kuwait,KWT,20.0,70.0,25.0,backfilled
2025-05-01,Lebanon,LBN,0.5318158105561672,30.0,35.265907905278084,backfilled
2025-05-01,Oman,OMN,20.0,60.0,30.0,backfilled
2025-05-01,Pakistan,PAK,20.0,80.0,20.0,backfilled
2025-05-01,Qatar,QAT,40.0,40.0,50.0,backfilled
2025-05-01,Saudi Arabia,SAU,53.01247339748189,70.0,41.50623669874095,backfilled
2025-05-01,Syria,SYR,0.0,50.0,25.0,backfilled
2025-05-01,Turkey,TUR,40.0,70.0,35.0,backfilled
2025-05-01,United Arab Emirates,ARE,40.0,60.0,40.0,backfilled
2025-05-01,Yemen,YEM,0.0,20.0,40.0,backfilled
2025-05-13,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2025-05-13,Bahrain,BHR,40.0,30.0,55.0,backfilled
2025-05-13,Egypt,EGY,23.411702194731177,60.0,31.70585109736559,backfilled
2025-05-13,Iran,IRN,0.0,50.0,25.0,backfilled
2025-05-13,Iraq,IRQ,0.0,50.0,25.0,backfilled
2025-05-13,Israel,ISR,80.0,10.0,85.0,backfilled
2025-05-13,Jordan,JOR,20.0,30.0,45.0,backfilled
2025-05-13,Kuwait,KWT,20.0,70.0,25.0,backfilled
2025-05-13,Lebanon,LBN,0.5318158105561672,30.0,35.265907905278084,backfilled
2025-05-13,Oman,OMN,20.0,60.0,30.0,backfilled
2025-05-13,Pakistan,PAK,20.0,80.0,20.0,backfilled
2025-05-13,Qatar,QAT,40.0,40.0,50.0,backfilled
2025-05-13,Saudi Arabia,SAU,55.562449815345886,70.0,42.781224907672936,backfilled
2025-05-13,Syria,SYR,0.0,50.0,25.0,backfilled
2025-05-13,Turkey,TUR,40.0,70.0,35.0,backfilled
2025-05-13,United Arab Emirates,ARE,40.0,60.0,40.0,backfilled
2025-05-13,Yemen,YEM,0.0,20.0,40.0,backfilled
2025-05-14,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2025-05-14,Bahrain,BHR,40.0,30.0,55.0,backfilled
2025-05-14,Egypt,EGY,23.411702194731177,60.0,31.70585109736559,backfilled
2025-05-14,Iran,IRN,0.0,50.0,25.0,backfilled
2025-05-14,Iraq,IRQ,0.0,50.0,25.0,backfilled
2025-05-14,Israel,ISR,80.0,10.0,85.0,backfilled
2025-05-14,Jordan,JOR,20.0,30.0,45.0,backfilled
2025-05-14,Kuwait,KWT,20.0,70.0,25.0,backfilled
2025-05-14,Lebanon,LBN,0.5318158105561672,30.0,35.265907905278084,backfilled
2025-05-14,Oman,OMN,20.0,60.0,30.0,backfilled
2025-05-14,Pakistan,PAK,20.0,80.0,20.0,backfilled
2025-05-14,Qatar,QAT,40.0,40.0,50.0,backfilled
2025-05-14,Saudi Arabia,SAU,55.562449815345886,70.0,42.781224907672936,backfilled
2025-05-14,Syria,SYR,0.0,50.0,25.0,backfilled
2025-05-14,Turkey,TUR,40.0,70.0,35.0,backfilled
2025-05-14,United Arab Emirates,ARE,48.98275431158338,60.0,44.491377155791696,backfilled
2025-05-14,Yemen,YEM,0.0,20.0,40.0,backfilled
2025-11-03,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2025-11-03,Bahrain,BHR,40.0,30.0,55.0,backfilled
2025-11-03,Egypt,EGY,23.411702194731177,60.0,31.70585109736559,backfilled
2025-11-03,Iran,IRN,0.0,50.0,25.0,backfilled
2025-11-03,Iraq,IRQ,0.0,50.0,25.0,backfilled
2025-11-03,Israel,ISR,80.0,10.0,85.0,backfilled
2025-11-03,Jordan,JOR,20.0,30.0,45.0,backfilled
2025-11-03,Kuwait,KWT,20.0,70.0,25.0,backfilled
2025-11-03,Lebanon,LBN,0.5318158105561672,30.0,35.265907905278084,backfilled
2025-11-03,Oman,OMN,20.0,60.0,30.0,backfilled
2025-11-03,Pakistan,PAK,20.0,80.0,20.0,backfilled
2025-11-03,Qatar,QAT,40.0,40.0,50.0,backfilled
2025-11-03,Saudi Arabia,SAU,55.562449815345886,70.0,42.781224907672936,backfilled
2025-11-03,Syria,SYR,0.0,50.0,25.0,backfilled
2025-11-03,Turkey,TUR,40.0,70.0,35.0,backfilled
2025-11-03,United Arab Emirates,ARE,57.91934593292352,60.0,48.95967296646177,backfilled
2025-11-03,Yemen,YEM,0.0,20.0,40.0,backfilled
